,ClusterName,LayerName
0,eL6-2,L6
1,eL4,L4
2,eL2/3,L2/3
3,eL6-2,I_CC
4,eL5,L5
5,eL6-1,L6
6,eL6-1,L2/3
7,eL6-2,L6
8,eL6-1,L6
9,Micro,I_CC
10,eL4,L4
11,eL2/3,L2/3
12,eL2/3,L2/3
13,eL4,L2/3
14,eL2/3,L1
15,eL6-1,L6
16,Endo,HPC
17,Oligo,I_CC
18,Astro,I_CC
19,eL6-2,I_CC
20,eL5,L4
21,eL4,L4
22,eL6-2,L6
23,eL4,L4
24,eL2/3,L2/3
25,Endo,L2/3
26,eL2/3,L2/3
27,eL5,L6
28,eL4,L1
29,Micro,L1
30,eL4,L4
31,Astro,I_CC
32,eL5,L5
33,eL4,L5
34,Oligo,L6
35,eL6-2,L6
36,PVALB,L5
37,eL5,HPC
38,Oligo,I_CC
39,Oligo,I_CC
40,eL2/3,L2/3
41,eL4,L4
42,Micro,L2/3
43,eL2/3,L2/3
44,Endo,HPC
45,eL2/3,L2/3
46,eL6-2,L6
47,eL2/3,L2/3
48,Astro,I_CC
49,Oligo,I_CC
50,eL6-2,L5
51,eL4,L4
52,Oligo,I_CC
53,eL6-2,I_CC
54,eL5,HPC
55,eL4,L4
56,eL2/3,L2/3
57,eL6-2,L6
58,Astro,L5
59,eL6-1,L2/3
60,Micro,HPC
61,eL5,L5
62,Oligo,I_CC
63,HPC,HPC
64,eL2/3,L2/3
65,Oligo,I_CC
66,VIP,L1
67,Oligo,L6
68,eL4,L4
69,eL4,L4
70,eL6-2,L6
71,eL4,L4
72,eL6-2,L6
73,eL5,L6
74,eL4,L4
75,eL6-2,L6
76,eL4,HPC
77,eL2/3,L2/3
78,Astro,HPC
79,eL2/3,L2/3
80,eL4,L4
81,eL4,L4
82,Oligo,I_CC
83,eL6-2,L5
84,HPC,HPC
85,eL6-2,L6
86,PVALB,L5
87,eL6-1,L2/3
88,Oligo,I_CC
89,eL4,L4
90,eL4,L4
91,VIP,L2/3
92,eL6-1,L6
93,Oligo,L5
94,SST,HPC
95,SST,L2/3
96,eL6-1,L5
97,eL2/3,L4
98,eL4,L4
99,eL2/3,L4
100,SST,L2/3
101,Oligo,I_CC
102,Astro,I_CC
103,Endo,HPC
104,eL6-2,L6
105,eL6-1,L6
106,eL5,L5
107,eL5,L5
108,Micro,I_CC
109,SST,L4
110,eL2/3,L4
111,eL4,L4
112,Oligo,I_CC
113,Endo,L5
114,eL2/3,L2/3
115,Oligo,I_CC
116,Astro,L2/3
117,eL6-2,L6
118,eL2/3,L2/3
119,eL6-1,L2/3
120,eL6-2,L6
121,eL2/3,L2/3
122,eL5,L5
123,Oligo,I_CC
124,eL6-1,L6
125,eL5,L5
126,Oligo,L5
127,Micro,HPC
128,Endo,L6
129,Endo,L2/3
130,SST,I_CC
131,eL6-2,L6
132,Micro,L6
133,eL6-1,L4
134,Endo,L2/3
135,eL6-1,L6
136,Endo,L2/3
137,Endo,L1
138,eL6-1,L5
139,Micro,L1
140,Oligo,L5
141,eL6-1,L6
142,Astro,HPC
143,eL6-2,L6
144,eL5,L2/3
145,eL4,L2/3
146,eL2/3,L4
147,Micro,L4
148,Endo,L2/3
149,eL6-1,L6
150,Endo,L2/3
151,eL4,L4
152,eL6-1,L6
153,Micro,L4
154,Reln,HPC
155,Reln,L5
156,Astro,I_CC
157,Astro,I_CC
158,eL6-2,L6
159,eL6-1,L6
160,Astro,L5
161,Endo,L2/3
162,Oligo,I_CC
163,eL6-2,I_CC
164,eL5,L4
165,PVALB,L4
166,Endo,L2/3
167,Endo,L2/3
168,Endo,L1
169,eL2/3,L1
170,eL5,L6
171,Endo,L2/3
172,Endo,L2/3
173,eL4,L6
174,Endo,L2/3
175,eL2/3,L2/3
176,eL6-2,L6
177,Endo,L2/3
178,eL4,L4
179,eL6-2,L6
180,eL2/3,L2/3
181,eL2/3,L2/3
182,eL6-1,L6
183,Endo,L1
184,eL5,L5
185,eL6-2,L6
186,eL4,L4
187,Astro,HPC
188,eL6-2,L6
189,eL6-2,L6
190,Astro,L4
191,eL6-1,L5
192,SST,HPC
193,Reln,L2/3
194,eL2/3,L2/3
195,Astro,L2/3
196,Endo,L5
197,eL2/3,L2/3
198,Endo,L2/3
199,eL2/3,L2/3
200,Endo,L1
201,Endo,L4
202,Astro,L4
203,eL2/3,L2/3
204,Oligo,I_CC
205,eL6-1,L5
206,eL6-1,L2/3
207,eL6-1,L5
208,Astro,L2/3
209,Endo,L4
210,eL6-2,L5
211,Endo,L4
212,eL5,HPC
213,eL6-1,L6
214,Endo,L2/3
215,Oligo,I_CC
216,eL5,L5
217,Oligo,I_CC
218,Oligo,L5
219,eL6-2,L6
220,Astro,L6
221,eL6-1,L6
222,eL2/3,L2/3
223,eL6-2,L5
224,Oligo,L2/3
225,Endo,L4
226,Oligo,L6
227,VIP,L6
228,Astro,L4
229,eL6-2,I_CC
230,Micro,L6
231,eL6-2,L6
232,Endo,L4
233,Endo,L4
234,Oligo,L5
235,eL2/3,L2/3
236,Oligo,I_CC
237,Astro,L2/3
238,eL2/3,L2/3
239,eL6-1,L5
240,Astro,L1
241,Endo,L6
242,Oligo,I_CC
243,Endo,L4
244,SST,I_CC
245,eL2/3,L4
246,Endo,L4
247,Oligo,I_CC
248,eL4,L4
249,eL6-1,L6
250,eL2/3,L2/3
251,Endo,L4
252,Endo,L4
253,eL2/3,L2/3
254,eL6-2,L6
255,Endo,L1
256,Endo,L4
257,eL6-2,I_CC
258,VIP,HPC
259,Micro,L1
260,Astro,HPC
261,Micro,L2/3
262,Oligo,I_CC
263,eL6-2,L6
264,Endo,L1
265,Astro,I_CC
266,eL6-2,L2/3
267,eL4,L4
268,eL6-2,L6
269,eL6-2,L6
270,eL4,L2/3
271,eL2/3,L2/3
272,Endo,L2/3
273,Oligo,I_CC
274,Oligo,L5
275,eL6-2,L6
276,eL6-2,L6
277,eL5,L5
278,Astro,HPC
279,Micro,L2/3
280,PVALB,L2/3
281,eL6-1,I_CC
282,Oligo,I_CC
283,eL6-2,L6
284,Endo,L2/3
285,Endo,L2/3
286,eL4,L4
287,eL4,L2/3
288,Oligo,I_CC
289,Endo,L5
290,eL4,L4
291,eL6-2,L6
292,eL4,L4
293,eL4,L2/3
294,eL4,L4
295,eL6-2,L6
296,Astro,L5
297,Astro,I_CC
298,Astro,L6
299,eL2/3,L2/3
300,eL5,L5
301,Reln,L1
302,eL5,L5
303,eL2/3,L2/3
304,Smc,I_CC
305,Astro,L6
306,PVALB,L4
307,eL4,L4
308,Endo,L2/3
309,eL4,L4
310,eL5,HPC
311,Oligo,L6
312,PVALB,L5
313,VIP,L5
314,eL5,L5
315,eL2/3,L2/3
316,Astro,I_CC
317,eL6-2,L6
318,Oligo,I_CC
319,eL4,L4
320,eL2/3,L2/3
321,eL5,L5
322,eL4,L4
323,eL6-1,L2/3
324,eL2/3,L2/3
325,eL4,L4
326,Endo,L2/3
327,eL2/3,L2/3
328,eL5,L5
329,HPC,HPC
330,Micro,L6
331,eL6-1,L2/3
332,Oligo,I_CC
333,Oligo,I_CC
334,Astro,L5
335,Oligo,I_CC
336,eL6-2,L6
337,Oligo,I_CC
338,Micro,L2/3
339,eL4,L4
340,eL6-2,L6
341,eL6-2,L6
342,HPC,HPC
343,eL4,L4
344,eL6-1,L6
345,Oligo,L5
346,PVALB,L2/3
347,eL6-1,L6
348,eL6-1,L4
349,Micro,HPC
350,eL6-2,L6
351,eL5,L2/3
352,Astro,L5
353,Micro,L6
354,HPC,L6
355,eL5,L5
356,eL6-1,L2/3
357,eL2/3,L2/3
358,eL2/3,L2/3
359,Astro,I_CC
360,eL2/3,L2/3
361,eL6-2,L6
362,Micro,L6
363,Endo,L5
364,Astro,L5
365,PVALB,L4
366,Endo,L4
367,Oligo,I_CC
368,Astro,L1
369,eL6-2,I_CC
370,Astro,L5
371,VIP,L2/3
372,Endo,L4
373,eL4,L4
374,SST,L5
375,eL6-2,L6
376,eL4,L4
377,Oligo,I_CC
378,eL6-1,L6
379,Astro,L4
380,eL2/3,L2/3
381,Astro,I_CC
382,Astro,L5
383,VIP,L2/3
384,Endo,L1
385,Astro,L1
386,eL4,L4
387,Oligo,I_CC
388,Oligo,L4
389,VIP,L2/3
390,Oligo,I_CC
391,eL2/3,L2/3
392,Oligo,I_CC
393,SST,L2/3
394,Endo,I_CC
395,eL4,L4
396,Oligo,I_CC
397,PVALB,L6
398,eL2/3,L2/3
399,eL6-2,I_CC
400,eL6-2,L6
401,Micro,L5
402,eL2/3,L2/3
403,eL4,L4
404,PVALB,L2/3
405,eL6-2,L6
406,HPC,HPC
407,SST,L2/3
408,eL6-2,L6
409,eL6-1,L6
410,PVALB,L4
411,eL2/3,L2/3
412,eL4,L2/3
413,Oligo,L2/3
414,eL2/3,L2/3
415,Oligo,I_CC
416,eL4,L4
417,eL2/3,L2/3
418,Micro,L5
419,eL6-2,L6
420,Astro,I_CC
421,Reln,L1
422,eL6-2,L6
423,eL4,L4
424,eL5,L5
425,eL4,L5
426,Oligo,I_CC
427,eL4,L4
428,eL6-2,L6
429,eL2/3,L2/3
430,eL6-2,L6
431,eL6-1,L5
432,eL2/3,L2/3
433,eL4,L2/3
434,Endo,L5
435,Oligo,I_CC
436,eL2/3,L2/3
437,Astro,L5
438,eL4,L4
439,Endo,I_CC
440,eL2/3,L2/3
441,eL6-2,I_CC
442,eL6-2,L6
443,Endo,L4
444,Astro,I_CC
445,eL4,L4
446,eL4,L4
447,eL4,L4
448,eL4,L2/3
449,eL6-2,L6
450,Oligo,I_CC
451,eL4,L2/3
452,Astro,L1
453,Oligo,I_CC
454,eL5,L5
455,eL4,L2/3
456,eL6-2,L6
457,eL4,L4
458,eL2/3,L2/3
459,HPC,HPC
460,eL2/3,L2/3
461,eL6-2,L6
462,eL4,L4
463,Oligo,I_CC
464,Endo,L2/3
465,eL4,L4
466,Endo,L4
467,VIP,L2/3
468,eL5,L5
469,eL4,L4
470,eL4,L4
471,eL4,L4
472,eL6-1,L6
473,Astro,L4
474,Astro,L2/3
475,Endo,L2/3
476,eL4,L4
477,Astro,L2/3
478,eL2/3,L2/3
479,eL6-2,L5
480,eL6-2,I_CC
481,Oligo,I_CC
482,eL4,L4
483,Reln,L6
484,eL6-2,L6
485,eL4,L4
486,eL4,L4
487,VIP,L2/3
488,eL2/3,L2/3
489,eL6-1,L6
490,eL2/3,L2/3
491,Astro,L6
492,eL4,L4
493,eL2/3,L2/3
494,eL2/3,L2/3
495,Oligo,L4
496,eL4,L4
497,eL6-2,L5
498,eL5,L5
499,Astro,L5
500,eL2/3,L2/3
501,Astro,L4
502,eL5,L5
503,SST,L6
504,eL2/3,L2/3
505,eL2/3,L2/3
506,eL6-1,L6
507,eL5,L5
508,Micro,L4
509,Oligo,HPC
510,eL2/3,L4
511,eL2/3,L2/3
512,Oligo,L1
513,Astro,L1
514,Endo,L4
515,eL4,L4
516,eL2/3,L2/3
517,eL2/3,L2/3
518,eL6-1,L5
519,eL6-2,L6
520,Micro,L1
521,Astro,L4
522,Astro,L2/3
523,Micro,L6
524,Oligo,L5
525,eL6-2,I_CC
526,eL6-1,L5
527,eL2/3,L4
528,eL2/3,L2/3
529,eL2/3,L2/3
530,eL4,L4
531,Endo,L4
532,Astro,L5
533,Oligo,L5
534,Oligo,I_CC
535,eL2/3,L2/3
536,Astro,L5
537,Oligo,I_CC
538,eL6-1,L6
539,Oligo,L5
540,eL4,L5
541,eL2/3,L2/3
542,Reln,L1
543,eL4,L2/3
544,eL4,L2/3
545,eL4,L4
546,Oligo,L2/3
547,HPC,HPC
548,eL4,L4
549,eL4,L4
550,eL5,L6
551,Oligo,I_CC
552,eL4,L4
553,Endo,L1
554,Oligo,I_CC
555,eL5,HPC
556,Micro,HPC
557,Oligo,HPC
558,Oligo,I_CC
559,Micro,L4
560,eL4,L2/3
561,eL6-1,L6
562,Micro,L2/3
563,eL6-2,L5
564,eL6-2,L6
565,Endo,L2/3
566,eL2/3,L2/3
567,Oligo,I_CC
568,PVALB,L2/3
569,eL2/3,L2/3
570,Oligo,I_CC
571,Astro,HPC
572,Astro,L1
573,eL6-2,L6
574,eL4,L4
575,eL4,L4
576,Oligo,I_CC
577,eL6-2,L6
578,eL4,L4
579,PVALB,L4
580,Oligo,L2/3
581,eL2/3,L2/3
582,eL4,L4
583,Reln,I_CC
584,eL4,L4
585,eL6-2,HPC
586,Oligo,I_CC
587,PVALB,L5
588,SST,L5
589,eL6-1,L6
590,eL4,L4
591,Oligo,I_CC
592,Micro,L6
593,eL2/3,L2/3
594,Micro,L6
595,Astro,L2/3
596,eL6-2,I_CC
597,eL5,L5
598,SST,L4
599,Astro,HPC
600,eL4,L4
601,eL2/3,L2/3
602,Micro,L2/3
603,Endo,L6
604,Oligo,L5
605,Endo,L1
606,eL6-2,L6
607,Oligo,I_CC
608,Oligo,I_CC
609,eL4,L4
610,eL6-1,L6
611,eL5,I_CC
612,eL4,L4
613,eL6-2,L6
614,eL6-2,I_CC
615,Endo,L6
616,eL6-2,L6
617,Oligo,I_CC
618,eL4,L4
619,Astro,L6
620,eL2/3,L2/3
621,Oligo,I_CC
622,eL4,L4
623,Micro,L1
624,Endo,L6
625,eL4,L4
626,Oligo,I_CC
627,eL6-2,I_CC
628,eL4,L5
629,eL5,L5
630,eL5,L5
631,Astro,I_CC
632,Astro,L4
633,Oligo,L1
634,Oligo,I_CC
635,eL2/3,L2/3
636,eL4,L5
637,SST,L4
638,Oligo,I_CC
639,Astro,L5
640,Astro,I_CC
641,eL4,L4
642,eL4,L4
643,Oligo,I_CC
644,eL4,L4
645,eL6-2,L6
646,eL4,L4
647,eL2/3,L2/3
648,Astro,L6
649,Micro,L5
650,eL4,L4
651,Astro,L5
652,eL4,L4
653,eL6-2,L6
654,Astro,L5
655,eL2/3,L2/3
656,eL2/3,L2/3
657,eL2/3,L2/3
658,Endo,L5
659,eL6-2,L6
660,Astro,HPC
661,eL4,L5
662,Endo,I_CC
663,eL6-2,L6
664,PVALB,L6
665,eL5,HPC
666,eL4,L5
667,Micro,L2/3
668,Astro,L2/3
669,eL5,L5
670,Oligo,I_CC
671,eL4,L4
672,eL2/3,L2/3
673,eL2/3,L2/3
674,eL5,L5
675,eL2/3,L2/3
676,Oligo,I_CC
677,eL6-2,L6
678,eL4,L5
679,eL2/3,L4
680,eL6-2,L6
681,eL4,L4
682,eL2/3,L4
683,Astro,L4
684,eL4,L4
685,Reln,L6
686,Reln,L4
687,eL5,L5
688,eL4,L4
689,eL5,HPC
690,eL2/3,L6
691,PVALB,L6
692,Astro,L5
693,eL4,L4
694,Oligo,I_CC
695,Micro,L5
696,eL2/3,L2/3
697,eL2/3,L2/3
698,Oligo,I_CC
699,Oligo,I_CC
700,Endo,HPC
701,Astro,I_CC
702,eL4,L4
703,eL6-2,L6
704,Astro,L5
705,eL2/3,L2/3
706,eL6-1,L5
707,Endo,L1
708,Micro,I_CC
709,eL6-2,L6
710,eL6-2,L6
711,eL2/3,L2/3
712,eL2/3,L4
713,Astro,L2/3
714,Oligo,I_CC
715,eL6-2,I_CC
716,Astro,L5
717,eL4,L5
718,Endo,HPC
719,eL2/3,L2/3
720,Astro,L5
721,eL5,L5
722,Endo,L1
723,Reln,L6
724,PVALB,L5
725,Reln,L4
726,eL6-2,L6
727,eL4,L4
728,Endo,L2/3
729,Astro,HPC
730,eL6-1,L2/3
731,eL4,L4
732,eL4,L4
733,eL6-2,L6
734,Astro,HPC
735,Oligo,L6
736,eL4,L4
737,eL6-2,L6
738,eL2/3,L2/3
739,eL2/3,L2/3
740,VIP,L2/3
741,Oligo,HPC
742,Reln,L6
743,eL2/3,L2/3
744,Oligo,I_CC
745,eL4,L4
746,Micro,L2/3
747,Micro,HPC
748,eL6-2,I_CC
749,eL6-1,L5
750,PVALB,L5
751,eL5,L5
752,eL4,L4
753,VIP,L2/3
754,Oligo,I_CC
755,eL2/3,L2/3
756,eL4,L4
757,HPC,HPC
758,eL4,L4
759,Oligo,L5
760,eL4,L4
761,eL2/3,L2/3
762,Oligo,I_CC
763,Endo,L4
764,Endo,L4
765,Oligo,L6
766,SST,L6
767,Endo,L2/3
768,Oligo,I_CC
769,Astro,I_CC
770,eL6-1,I_CC
771,Oligo,L5
772,eL6-2,L6
773,eL6-2,L6
774,eL6-2,L6
775,eL5,L5
776,eL2/3,L2/3
777,Astro,L2/3
778,eL6-1,L4
779,eL4,L4
780,eL2/3,L2/3
781,Oligo,I_CC
782,Oligo,L5
783,Oligo,L6
784,eL2/3,L2/3
785,eL4,L4
786,eL2/3,L2/3
787,eL2/3,L2/3
788,Reln,L5
789,eL5,L2/3
790,eL4,L5
791,eL2/3,L4
792,Micro,L2/3
793,PVALB,L5
794,eL4,L4
795,eL5,L5
796,Oligo,I_CC
797,Astro,L2/3
798,eL4,L4
799,Oligo,I_CC
800,eL2/3,L2/3
801,HPC,HPC
802,eL2/3,L2/3
803,SST,L4
804,eL2/3,L4
805,Oligo,L6
806,Astro,L5
807,Reln,L4
808,eL6-1,L6
809,eL6-2,L6
810,eL4,L4
811,Reln,L1
812,eL2/3,L2/3
813,eL6-2,L6
814,eL2/3,L2/3
815,VIP,L2/3
816,eL6-2,I_CC
817,eL2/3,L2/3
818,Astro,L6
819,Oligo,L6
820,Astro,L5
821,eL5,L4
822,Oligo,HPC
823,eL4,L4
824,eL4,L4
825,eL4,L4
826,eL6-1,L4
827,eL4,L6
828,eL4,L4
829,eL2/3,L2/3
830,Oligo,I_CC
831,Astro,L5
832,eL6-2,I_CC
833,eL6-2,L5
834,Astro,L2/3
835,eL4,L5
836,Astro,L2/3
837,Astro,I_CC
838,PVALB,L5
839,Oligo,I_CC
840,eL6-2,L6
841,Astro,I_CC
842,eL5,I_CC
843,eL6-2,I_CC
844,Astro,L4
845,eL2/3,L2/3
846,Astro,HPC
847,eL4,L4
848,Astro,HPC
849,eL4,L5
850,Endo,L2/3
851,eL6-2,L6
852,PVALB,L5
853,Astro,HPC
854,Endo,L6
855,eL2/3,L4
856,eL6-2,L6
857,Micro,L4
858,PVALB,L5
859,eL4,L2/3
860,eL6-2,I_CC
861,eL5,L6
862,Oligo,I_CC
863,eL6-1,L2/3
864,eL2/3,L2/3
865,eL6-2,L6
866,Astro,L4
867,eL6-2,L6
868,eL4,L4
869,Micro,HPC
870,eL6-1,L2/3
871,eL4,L4
872,eL4,L4
873,eL6-2,I_CC
874,eL4,L4
875,eL2/3,L2/3
876,Reln,L1
877,Astro,L2/3
878,Astro,L5
879,Reln,L2/3
880,Micro,L5
881,eL2/3,L2/3
882,Oligo,I_CC
883,PVALB,L2/3
884,eL6-2,I_CC
885,eL2/3,L4
886,eL4,L4
887,Oligo,L5
888,PVALB,L2/3
889,eL6-1,L5
890,Oligo,L5
891,eL4,L5
892,Astro,L5
893,eL4,L4
894,eL4,L4
895,Oligo,L2/3
896,eL6-2,L6
897,eL2/3,L2/3
898,eL2/3,L2/3
899,Micro,L2/3
900,Astro,HPC
901,Oligo,I_CC
902,eL4,L4
903,Oligo,L4
904,Endo,L2/3
905,SST,HPC
906,eL4,L4
907,eL6-1,L6
908,eL4,L4
909,eL2/3,L4
910,eL2/3,L4
911,Astro,L6
912,eL5,L5
913,eL4,L4
914,eL6-2,L6
915,eL6-2,L1
916,eL6-2,L6
917,Astro,HPC
918,SST,L2/3
919,eL6-1,L5
920,Micro,L6
921,PVALB,HPC
922,eL6-2,I_CC
923,Astro,L2/3
924,eL2/3,L2/3
925,eL6-1,L2/3
926,Astro,HPC
927,eL6-1,L6
928,Oligo,I_CC
929,Endo,L5
930,eL2/3,L2/3
931,Oligo,I_CC
932,eL6-2,L6
933,SST,L4
934,eL6-1,L6
935,eL5,L5
936,eL6-2,L6
937,Oligo,L5
938,Endo,L4
939,Endo,L2/3
940,Astro,L6
941,Astro,L4
942,eL2/3,L4
943,Oligo,I_CC
944,eL6-2,L6
945,eL2/3,L2/3
946,SST,L5
947,Astro,L5
948,eL6-1,L6
949,Oligo,L4
950,eL6-1,L6
951,Oligo,I_CC
952,eL6-2,L6
953,eL5,L5
954,eL4,L4
955,eL2/3,L2/3
956,eL2/3,L2/3
957,eL6-2,I_CC
958,eL6-2,I_CC
959,eL2/3,L2/3
960,Micro,L5
961,eL4,L2/3
962,eL6-2,L6
963,eL6-1,L5
964,Astro,L2/3
965,Micro,L5
966,Endo,I_CC
967,eL2/3,L2/3
968,eL4,L4
969,eL6-2,L6
970,eL6-1,L4
971,eL2/3,L4
972,eL6-2,I_CC
973,eL4,L4
974,Oligo,I_CC
975,eL6-1,L6
976,Astro,L4
977,Reln,HPC
978,Astro,L1
979,Oligo,HPC
980,eL2/3,L2/3
981,Astro,L4
982,eL4,L4
983,eL5,HPC
984,PVALB,L6
985,eL2/3,L6
986,eL5,L6
987,Oligo,I_CC
988,eL4,L4
989,eL6-1,L6
990,eL2/3,L2/3
991,eL4,L4
992,eL2/3,L2/3
993,eL4,L4
994,eL4,L4
995,eL6-2,I_CC
996,eL5,L5
997,Astro,L2/3
998,eL2/3,L4
999,eL6-2,L6
1000,eL4,L4
1001,Astro,L5
1002,SST,HPC
1003,eL2/3,L2/3
1004,eL2/3,L2/3
1005,Astro,HPC
1006,eL6-2,I_CC
1007,eL4,L5
1008,Reln,HPC
1009,eL4,L5
1010,eL4,L4
1011,eL5,L5
1012,eL4,L4
1013,Astro,L4
1014,Oligo,I_CC
1015,eL4,L4
1016,eL6-1,L2/3
1017,eL6-2,I_CC
1018,Reln,L5
1019,Astro,L4
1020,Astro,I_CC
1021,Oligo,I_CC
1022,eL6-2,L6
1023,eL4,L4
1024,Astro,L4
1025,eL6-1,L6
1026,Oligo,HPC
1027,eL5,L5
1028,PVALB,L4
1029,eL2/3,L2/3
1030,eL6-2,L6
1031,eL2/3,L4
1032,eL6-1,L2/3
1033,eL6-1,L6
1034,eL2/3,L2/3
1035,Smc,L1
1036,Oligo,I_CC
1037,eL2/3,L2/3
1038,Astro,I_CC
1039,eL2/3,L4
1040,Astro,L6
1041,eL6-2,L2/3
1042,eL4,L2/3
1043,Oligo,I_CC
1044,eL2/3,L2/3
1045,eL6-2,L4
1046,eL2/3,L4
1047,eL6-1,L6
1048,eL4,L5
1049,Reln,HPC
1050,eL2/3,L4
1051,eL4,L4
1052,eL4,L4
1053,eL2/3,L2/3
1054,Reln,L2/3
1055,Micro,HPC
1056,Astro,I_CC
1057,eL2/3,L4
1058,eL6-1,L6
1059,eL2/3,L2/3
1060,eL2/3,L2/3
1061,eL4,L4
1062,Oligo,I_CC
1063,eL4,L5
1064,Oligo,I_CC
1065,eL5,L6
1066,Oligo,L5
1067,Astro,L5
1068,eL2/3,L2/3
1069,Micro,L2/3
1070,Oligo,I_CC
1071,PVALB,L5
1072,Micro,HPC
1073,eL6-1,L6
1074,Endo,L4
1075,Oligo,HPC
1076,PVALB,L6
1077,eL6-2,L6
1078,Smc,L1
1079,eL6-1,L6
1080,eL5,L6
1081,Micro,L2/3
1082,eL2/3,L4
1083,eL6-2,I_CC
1084,eL5,L6
1085,eL6-1,L4
1086,Smc,L1
1087,Endo,L4
1088,Oligo,I_CC
1089,PVALB,L5
1090,Astro,L2/3
1091,Oligo,I_CC
1092,Smc,L1
1093,eL6-2,L6
1094,eL6-2,L6
1095,eL5,L6
1096,eL2/3,L2/3
1097,Astro,HPC
1098,eL4,L4
1099,eL2/3,L4
1100,Oligo,I_CC
1101,eL2/3,L2/3
1102,Endo,L1
1103,eL2/3,L2/3
1104,eL4,L6
1105,eL6-2,I_CC
1106,Astro,L2/3
1107,Astro,L2/3
1108,eL4,L4
1109,eL2/3,L4
1110,eL2/3,L2/3
1111,eL2/3,L2/3
1112,Oligo,I_CC
1113,eL6-2,I_CC
1114,eL4,L4
1115,Smc,L1
1116,Astro,HPC
1117,eL6-2,L6
1118,eL4,L5
1119,Endo,L2/3
1120,Astro,L1
1121,Astro,L1
1122,eL5,L6
1123,eL6-2,L6
1124,eL6-2,I_CC
1125,SST,L4
1126,Micro,I_CC
1127,eL4,L4
1128,eL6-1,L6
1129,eL2/3,L4
1130,eL6-2,L6
1131,eL6-2,L6
1132,eL4,L4
1133,Endo,L2/3
1134,Smc,L1
1135,Oligo,I_CC
1136,Astro,L5
1137,eL4,L5
1138,eL2/3,L2/3
1139,Oligo,I_CC
1140,eL5,L6
1141,eL6-2,I_CC
1142,eL5,L5
1143,Astro,L2/3
1144,eL6-2,L6
1145,Astro,L5
1146,Smc,L1
1147,eL6-1,I_CC
1148,PVALB,L6
1149,Oligo,I_CC
1150,Oligo,I_CC
1151,eL2/3,L2/3
1152,Oligo,HPC
1153,Oligo,I_CC
1154,eL4,L4
1155,Astro,L5
1156,eL4,L4
1157,eL6-1,L2/3
1158,Reln,L6
1159,eL6-2,L6
1160,Reln,L5
1161,eL2/3,L2/3
1162,Oligo,HPC
1163,eL4,L4
1164,eL2/3,L2/3
1165,eL6-2,L5
1166,eL2/3,L2/3
1167,eL2/3,L2/3
1168,Smc,L1
1169,eL4,L5
1170,Reln,L5
1171,Oligo,I_CC
1172,eL2/3,L4
1173,eL4,L2/3
1174,eL2/3,L2/3
1175,eL2/3,L2/3
1176,Oligo,HPC
1177,eL4,L5
1178,eL6-2,L4
1179,eL5,L5
1180,eL6-1,L6
1181,eL4,L5
1182,SST,L2/3
1183,eL2/3,L2/3
1184,Oligo,HPC
1185,eL6-2,I_CC
1186,Reln,L4
1187,Oligo,HPC
1188,eL6-2,L6
1189,eL4,L5
1190,Micro,L2/3
1191,eL2/3,L5
1192,Micro,L1
1193,eL6-2,I_CC
1194,eL6-2,I_CC
1195,Oligo,I_CC
1196,Astro,L4
1197,Oligo,I_CC
1198,eL4,L5
1199,Oligo,L4
1200,eL5,L6
1201,eL2/3,L2/3
1202,eL6-2,L6
1203,eL6-2,L6
1204,eL4,L4
1205,Smc,L1
1206,Astro,L4
